Source,Target,Type,Weight
32,7,Undirected,1972179.667
36,27,Undirected,4181889.333
15,12,Undirected,5333570.667
111,1,Undirected,797778
111,3,Undirected,797778
22,3,Undirected,2234947.5
61,10,Undirected,6524760.333
9,23,Undirected,675374
7,27,Undirected,3340035.667
112,3,Undirected,7601467
39,15,Undirected,4020869
10,213,Undirected,1573237.333
113,4,Undirected,9602771
4,114,Undirected,9602771
113,5,Undirected,9602771
114,5,Undirected,9602771
9,53,Undirected,1322726
19,53,Undirected,1322726
25,53,Undirected,1322726
72,22,Undirected,650454
54,22,Undirected,650454
22,231,Undirected,650454
72,10,Undirected,650454
54,10,Undirected,650454
10,231,Undirected,650454
21,100,Undirected,15352493.5
36,115,Undirected,4129064.5
69,69,Undirected,4129064.5
69,115,Undirected,4129064.5
115,5,Undirected,4129064.5
18,23,Undirected,7116345
23,14,Undirected,7116345
21,22,Undirected,16803547.5
21,47,Undirected,16803547.5
112,7,Undirected,2608472.5
82,10,Undirected,504046
31,100,Undirected,504046
82,100,Undirected,504046
116,29,Undirected,497658.5
116,13,Undirected,497658.5
91,29,Undirected,497658.5
91,13,Undirected,497658.5
49,29,Undirected,497658.5
49,13,Undirected,497658.5
117,29,Undirected,497658.5
117,13,Undirected,497658.5
8,13,Undirected,497658.5
9,26,Undirected,232790
9,37,Undirected,232790
18,26,Undirected,232790
18,37,Undirected,232790
19,26,Undirected,232790
19,37,Undirected,232790
12,37,Undirected,232790
9,65,Undirected,232790
4,39,Undirected,884016.5
39,73,Undirected,884016.5
39,5,Undirected,884016.5
39,10,Undirected,884016.5
39,26,Undirected,884016.5
1,232,Undirected,1506714.5
55,232,Undirected,1506714.5
17,232,Undirected,1506714.5
56,100,Undirected,1138092
83,100,Undirected,1138092
57,100,Undirected,1138092
58,100,Undirected,1138092
56,81,Undirected,1138092
56,70,Undirected,1138092
83,81,Undirected,1138092
83,70,Undirected,1138092
81,57,Undirected,1138092
57,70,Undirected,1138092
81,58,Undirected,1138092
58,70,Undirected,1138092
106,47,Undirected,4933561.5
36,47,Undirected,4933561.5
118,47,Undirected,4933561.5
50,59,Undirected,6532529.5
66,59,Undirected,6532529.5
84,25,Undirected,3083607
84,7,Undirected,3083607
85,25,Undirected,3083607
85,7,Undirected,3083607
25,86,Undirected,3083607
86,7,Undirected,3083607
25,87,Undirected,3083607
7,87,Undirected,3083607
25,121,Undirected,3083607
7,121,Undirected,3083607
56,76,Undirected,1674708.5
83,76,Undirected,1674708.5
57,76,Undirected,1674708.5
58,76,Undirected,1674708.5
88,4,Undirected,5819956
88,10,Undirected,5819956
4,60,Undirected,5819956
60,10,Undirected,5819956
18,100,Undirected,8747646
119,1,Undirected,9530653.5
60,1,Undirected,2784488
120,1,Undirected,2784488
38,60,Undirected,2784488
8,60,Undirected,2784488
60,145,Undirected,2784488
60,27,Undirected,2784488
38,34,Undirected,2784488
34,145,Undirected,2784488
38,120,Undirected,2784488
8,120,Undirected,2784488
5,120,Undirected,2784488
120,145,Undirected,2784488
120,27,Undirected,2784488
8,121,Undirected,539201
121,27,Undirected,539201
20,74,Undirected,4021334.5
23,74,Undirected,4021334.5
20,213,Undirected,4021334.5
23,213,Undirected,4021334.5
75,10,Undirected,1700347.5
10,76,Undirected,1700347.5
75,1,Undirected,1700347.5
1,76,Undirected,1700347.5
122,75,Undirected,1700347.5
75,123,Undirected,1700347.5
8,76,Undirected,1700347.5
122,76,Undirected,1700347.5
76,47,Undirected,1700347.5
76,123,Undirected,1700347.5
4,122,Undirected,1700347.5
122,5,Undirected,1700347.5
122,10,Undirected,1700347.5
122,27,Undirected,1700347.5
27,123,Undirected,1700347.5
122,100,Undirected,1700347.5
123,100,Undirected,1700347.5
122,1,Undirected,1700347.5
35,234,Undirected,2880730
9,6,Undirected,1390744.5
9,89,Undirected,1390744.5
9,41,Undirected,1390744.5
